,price,Address,area,latitude,longitude,Bedrooms,Bathrooms,Status,neworold,type_of_building,Price_sqft,City,Locality
0,5600000.0,"Noida Extension, Noida, Delhi NCR",1350.0,28.60885,77.46056,3.0,3.0,Under Construction,New Property,Flat,4148.148148148148,Noida,Noida Extension
1,8800000.0,"Sector 79, Gurgaon, Delhi NCR",1490.0,28.37423557,76.95241631,3.0,3.0,Ready to Move,New Property,Flat,5906.040268456376,Gurgaon,Sector 79
2,16500000.0,"Vaishali, Ghaziabad, Delhi NCR",2385.0,28.645769,77.38511,4.0,5.0,Ready to Move,New Property,Flat,6918.238993710692,Ghaziabad,Vaishali
3,3810000.0,"Link Road, F Block, Sector 50, Noida, Uttar Pradesh, Sector 1, Greater Noida, Delhi NCR",1050.0,28.566914,77.436434,2.0,2.0,Ready to Move,New Property,Flat,3628.571428571429,Greater Noida,Sector 1
4,6200000.0,"Jaypee Pavilion Court Sector 128, Noida, Sector 128, Noida, Delhi NCR",1350.0,28.520732,77.356491,2.0,2.0,Ready to Move,Resale,Flat,4592.592592592592,Noida,Sector 128
5,3700000.0,"tower 2, 6th floor, Crossings Republik, Ghaziabad, Delhi NCR",1150.0,28.62804,77.437809,2.0,2.0,Ready to Move,New Property,Flat,3217.391304347826,Ghaziabad,Crossings Republik
6,3270000.0000000005,"Nirala Aspire, GH03, Sector 16C, Hundal, Greater Noida, Uttar Pradesh 201306, Noida Extension Block C, Noida, Delhi NCR",890.0,28.610645,77.455837,2.0,2.0,Ready to Move,Resale,Flat,3674.157303370787,Noida,Noida Extension Block C
7,3990000.0,"Suncity Avenue 102, Sector 102, Gurgaon Bang on Dwarka Expressway having all Facilities of a gated Society., Sector 102, Gurgaon, Delhi NCR",850.0,28.471233,76.969597,2.0,2.0,Ready to Move,Resale,Flat,4694.117647058823,Gurgaon,Sector 102
8,3500000.0,"Sector 2, Greater Noida, Sector 2, Greater Noida, Delhi NCR",960.0,28.5814311,77.4528192,2.0,2.0,Ready to Move,Resale,Flat,3645.8333333333335,Greater Noida,Sector 2
9,5500000.0,"Gaur City 5th Avenue, Noida Extension, Noida, Noida Extension, Noida, Delhi NCR",1400.0,28.614181,77.427713,3.0,3.0,Ready to Move,Resale,Flat,3928.571428571429,Noida,Noida Extension
